FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
011211;0000;;44,5847;;
011212;0000;;38,7791;;
011213;0000;;30,1958;;
011214;0000;;46,9874;;
011215;0000;;43,676;;
011216;0000;;36,4895;;
011217;0000;;59,1021;;
011218;0000;;34,3645;;
011219;0000;;31,9937;;
011220;0000;;33,4417;;
011221;0000;;39,6062;;
011222;0000;;49,2582;;
011223;0000;;25,2021;;
011224;0000;;45,4999;;
011225;0000;;37,0333;;
011226;0000;;27,4708;;
011227;0000;;46,0541;;
011228;0000;;40,6499;;
011229;0000;;42,35;;
011230;0000;;33,8708;;
011231;0000;;29,3666;;
020101;0000;;19,6312;;
020102;0000;;31,4333;;
020103;0000;;37,0437;;
020104;0000;;61,1347;;
020105;0000;;44,1083;;
020106;0000;;28,9375;;
020107;0000;;66,8165;;
020108;0000;;23,6886;;
020109;0000;;29,8848;;
020110;0000;;38,9937;;
020111;0000;;36,4583;;
020112;0000;;20,4652;;
020113;0000;;34,4083;;
020114;0000;;39,7062;;
020115;0000;;42,0166;;
020116;0000;;48,5571;;
020117;0000;;50,7499;;
020118;0000;;29,5708;;
020119;0000;;25,2562;;
020120;0000;;36,7804;;
020121;0000;;43,8895;;
020122;0000;;39,025;;
020123;0000;;31,5687;;
020124;0000;;25,325;;
020125;0000;;25,3396;;
020126;0000;;30,0729;;
020127;0000;;22,2646;;
020128;0000;;36,2;;
020129;0000;;36,1062;;
020130;0000;;22,4875;;
020131;0000;;19,8354;;
020201;0000;;20,7062;;
020202;0000;;28,6104;;
020203;0000;;19,975;;
020204;0000;;42,15;;
020205;0000;;100,004;;
020206;0000;;54,6229;;
020207;0000;;40,4854;;
020208;0000;;27,1583;;
020209;0000;;23,4083;;
020210;0000;;22,4348;;
020211;0000;;34,5891;;
020212;0000;;40,3687;;
020213;0000;;45,852;;
020214;0000;;46,6083;;
020215;0000;;43,8847;;
020216;0000;;34,002;;
020217;0000;;25,3208;;
020218;0000;;56,9895;;
020219;0000;;54,3041;;
020220;0000;;56,8395;;
020221;0000;;48,1119;;
020222;0000;;51,9062;;
020223;0000;;50,1395;;
020224;0000;;53,7916;;
020225;0000;;54,7437;;
020226;0000;;14,1979;;
020227;0000;;19,5304;;
020228;0000;;30,0022;;
020301;0000;;22,6687;;
020302;0000;;31,6583;;
020303;0000;;28,1761;;
020304;0000;;31,1086;;
020305;0000;;34,6174;;
020306;0000;;22,5854;;
020307;0000;;28,6875;;
020308;0000;;30,8937;;
020309;0000;;27,7187;;
020310;0000;;25,6541;;
020311;0000;;34,2977;;
020312;0000;;54,202;;
020313;0000;;21,0312;;
020314;0000;;13,2229;;
020315;0000;;19,4429;;
020316;0000;;27,1229;;
020317;0000;;28,8749;;
020318;0000;;27,6999;;
020319;0000;;33,9869;;
020320;0000;;;;
020321;0000;;;;
020322;0000;;32,2173;;
020323;0000;;35,2635;;
020324;0000;;25,0597;;
020325;0000;;28,2666;;
020326;0000;;44,8043;;
020327;0000;;44,3854;;
020328;0000;;37,742;;
020329;0000;;20,2178;;
020330;0000;;20,8698;;
020331;0000;;23,5739;;
020401;0000;;31,0604;;
020402;0000;;52,6479;;
020403;0000;;51,0062;;
020404;0000;;50,1708;;
020405;0000;;98,0643;;
020406;0000;;19,8437;;
020407;0000;;33,1479;;
020408;0000;;45,7565;;
020409;0000;;34,3916;;
020410;0000;;44,9812;;
020411;0000;;30,6333;;
020412;0000;;65,1603;;
020413;0000;;65,6591;;
020414;0000;;64,277;;
020415;0000;;43,6564;;
020416;0000;;28,65;;
020417;0000;;38,4854;;
020418;0000;;54,626;;
020419;0000;;40,6104;;
020420;0000;;35,9625;;
020421;0000;;59,6312;;
020422;0000;;42,1729;;
020423;0000;;27,225;;
020424;0000;;16,3041;;
020425;0000;;40,0666;;
020426;0000;;62,1282;;
020427;0000;;60,2022;;
020428;0000;;23,2;;
020429;0000;;49,6727;;
020430;0000;;56,4658;;
020501;0000;;25,5229;;
020502;0000;;17,1729;;
020503;0000;;22,4916;;
020504;0000;;88,0332;;
020505;0000;;32,2666;;
020506;0000;;31,3437;;
020507;0000;;45,177;;
020508;0000;;37,0374;;
020509;0000;;52,5999;;
020510;0000;;32,8624;;
020511;0000;;64,6812;;
020512;0000;;39,0604;;
020513;0000;;34,2958;;
020514;0000;;10,7375;;
020515;0000;;21,7312;;
020516;0000;;73,6124;;
020517;0000;;88,2958;;
020518;0000;;43,7271;;
020519;0000;;56,6187;;
020520;0000;;77,3749;;
020521;0000;;60,0687;;
020522;0000;;9,12291;;
020523;0000;;22,4583;;
020524;0000;;19,6646;;
020525;0000;;12,4152;;
020526;0000;;14,5021;;
020527;0000;;23,1416;;
020528;0000;;94,6603;;
020529;0000;;168,508;;
020530;0000;;20,7416;;
020531;0000;;15,7312;;
020601;0000;;25,1521;;
020602;0000;;17,5375;;
020603;0000;;16,2562;;
020604;0000;;16,025;;
020605;0000;;17,15;;
020606;0000;;14,0375;;
020607;0000;;19,3916;;
020608;0000;;8,72499;;
020609;0000;;27,245;;
020610;0000;;;;
020611;0000;;;;
020612;0000;;147,708;;
020613;0000;;218,302;;
020614;0000;;146,793;;
020615;0000;;81,2354;;
020616;0000;;104,695;;
020617;0000;;50,4208;;
020618;0000;;25,5568;;
020619;0000;;27,1895;;
020620;0000;;51,3062;;
020621;0000;;109,002;;
020622;0000;;101,937;;
020623;0000;;116,064;;
020624;0000;;60,2395;;
020625;0000;;23,4625;;
020626;0000;;22,9333;;
020627;0000;;26,3604;;
020628;0000;;33,4562;;
020629;0000;;113,906;;
020630;0000;;52,0041;;
020701;0000;;113,029;;
020702;0000;;102,512;;
020703;0000;;65,4603;;
020704;0000;;65,2853;;
020705;0000;;57,0479;;
020706;0000;;55,3541;;
020707;0000;;98,1853;;
020708;0000;;70,9021;;
020709;0000;;49,7954;;
020710;0000;;90,0707;;
020711;0000;;59,777;;
020712;0000;;50,2374;;
020713;0000;;36,8666;;
020714;0000;;84,4978;;
020715;0000;;65,3583;;
020716;0000;;65,6478;;
020717;0000;;92,1207;;
020718;0000;;41,7604;;
020719;0000;;7,575;;
020720;0000;;13,9937;;
020721;0000;;13,2;;
020722;0000;;11,6625;;
020723;0000;;15,8708;;
020724;0000;;16,3437;;
020725;0000;;26,5812;;
020726;0000;;26,3083;;
020727;0000;;48,0458;;
020728;0000;;104,902;;
020729;0000;;19,725;;
020730;0000;;78,177;;
020731;0000;;107,024;;
020801;0000;;31,7312;;
020802;0000;;59,1874;;
020803;0000;;40,3065;;
020804;0000;;66,1853;;
020805;0000;;7,79582;;
020806;0000;;14,2304;;
020807;0000;;14,8354;;
020808;0000;;29,5;;
020809;0000;;48,8333;;
020810;0000;;18,6958;;
020811;0000;;34,5613;;
020812;0000;;40,7145;;
020813;0000;;65,8186;;
020814;0000;;38,7478;;
020815;0000;;52,7187;;
020816;0000;;43,9937;;
020817;0000;;24,1125;;
020818;0000;;25,9458;;
020819;0000;;44,1543;;
020820;0000;;42,8708;;
020821;0000;;35,1895;;
020822;0000;;13,2229;;
020823;0000;;12,3125;;
020824;0000;;18,7937;;
020825;0000;;33,1152;;
020826;0000;;23,3916;;
020827;0000;;10,1;;
020828;0000;;31,3916;;
020829;0000;;63,9782;;
020830;0000;;60,4891;;
020831;0000;;50,627;;
020901;0000;;37,5437;;
020902;0000;;32,5604;;
020903;0000;;49,1353;;
020904;0000;;24,213;;
020905;0000;;30,3386;;
020906;0000;;62,8136;;
020907;0000;;78,5187;;
020908;0000;;46,2565;;
020909;0000;;50,4999;;
020910;0000;;12,0667;;
020911;0000;;42,4064;;
020912;0000;;41,5434;;
020913;0000;;54,352;;
020914;0000;;19,2833;;
020915;0000;;14,7521;;
020916;0000;;18,3541;;
020917;0000;;20,1348;;
020918;0000;;30,1604;;
020919;0000;;16,0195;;
020920;0000;;28,5479;;
020921;0000;;24,663;;
020922;0000;;23,5083;;
020923;0000;;33,4363;;
020924;0000;;35,3354;;
020925;0000;;35,0912;;
020926;0000;;32,3895;;
020927;0000;;48,9625;;
020928;0000;;41,0312;;
020929;0000;;26,1187;;
020930;0000;;19,1;;
021001;0000;;18,2312;;
021002;0000;;36,4749;;
021003;0000;;18,3583;;
021004;0000;;26,4239;;
021005;0000;;16,2812;;
021006;0000;;15,4208;;
021007;0000;;30,3291;;
021008;0000;;18,8229;;
021009;0000;;39,7045;;
021010;0000;;29,9291;;
021011;0000;;6,92499;;
021012;0000;;16,9458;;
021013;0000;;24,9958;;
021014;0000;;31,7272;;
021015;0000;;31,9227;;
021016;0000;;32,5347;;
021017;0000;;27,7896;;
021018;0000;;31,0729;;
021019;0000;;34,2272;;
021020;0000;;19,7166;;
021021;0000;;;;
021022;0000;;;;
021023;0000;;13,4979;;
021024;0000;;12,7854;;
021025;0000;;14,1208;;
021026;0000;;17,4565;;
021027;0000;;21,1273;;
021028;0000;;22,4886;;
021029;0000;;18,9521;;
021030;0000;;20,0645;;
021031;0000;;19,9562;;
021101;0000;;10,9521;;
021102;0000;;15,9717;;
021103;0000;;13,4396;;
021104;0000;;15,5545;;
021105;0000;;24,5333;;
021106;0000;;18,1021;;
021107;0000;;14,0021;;
021108;0000;;21,0833;;
021109;0000;;16,4875;;
021110;0000;;12,4375;;
021111;0000;;15,4562;;
021112;0000;;14,275;;
021113;0000;;11,6587;;
021114;0000;;17,6479;;
021115;0000;;17,425;;
021116;0000;;9,93748;;
021117;0000;;15,1792;;
021118;0000;;11,0646;;
021119;0000;;14,6229;;
021120;0000;;24,0437;;
021121;0000;;26,5045;;
021122;0000;;20,2458;;
021123;0000;;16,3792;;
021124;0000;;10,5854;;
021125;0000;;8,34166;;
021126;0000;;22,5937;;
021127;0000;;26,2613;;
021128;0000;;23,4896;;
021129;0000;;28,3282;;
021130;0000;;25,2041;;
021201;0000;;26,7826;;
021202;0000;;29,5791;;
021203;0000;;28,0458;;
021204;0000;;25,9916;;
021205;0000;;30,55;;
021206;0000;;27,5937;;
021207;0000;;32,8124;;
021208;0000;;25,7125;;
021209;0000;;27,4;;
021210;0000;;31,1104;;
021211;0000;;30,4958;;
021212;0000;;28,7854;;
021213;0000;;23,7437;;
021214;0000;;18,625;;
021215;0000;;17,252;;
021216;0000;;26,7896;;
021217;0000;;30,9146;;
021218;0000;;27,6042;;
021219;0000;;23,7041;;
021220;0000;;21,6146;;
021221;0000;;17,3687;;
021222;0000;;17,4886;;
021223;0000;;17,0916;;
021224;0000;;14,425;;
021225;0000;;9,0354;;
021226;0000;;13,8354;;
021227;0000;;20,025;;
021228;0000;;18,7312;;
021229;0000;;17,2187;;
021230;0000;;21,525;;
021231;0000;;21,4793;;
030101;0000;;22,9556;;
030102;0000;;28,2654;;
030103;0000;;31,3133;;
030104;0000;;36,9886;;
030105;0000;;22,6279;;
030106;0000;;38,7725;;
030107;0000;;35,6239;;
030108;0000;;26,8445;;
030109;0000;;33,7341;;
030110;0000;;35,9998;;
030111;0000;;31,8083;;
030112;0000;;19,9375;;
030113;0000;;34,8585;;
030114;0000;;34,0472;;
030115;0000;;39,2081;;
030116;0000;;15,6658;;
030117;0000;;27,6745;;
030118;0000;;31,1231;;
030119;0000;;20,625;;
030120;0000;;19,525;;
030121;0000;;16,4908;;
030122;0000;;28,7506;;
030123;0000;;27,3969;;
030124;0000;;30,0898;;
030125;0000;;16,3694;;
030126;0000;;20,6548;;
030127;0000;;18,6633;;
030128;0000;;21,1337;;
030129;0000;;25,4352;;
030130;0000;;24,9071;;
030131;0000;;45,3841;;
030201;0000;;34,8814;;
030202;0000;;28,1554;;
030203;0000;;36,0272;;
030204;0000;;30,3325;;
030205;0000;;35,2206;;
030206;0000;;30,4585;;
030207;0000;;38,2479;;
030208;0000;;31,9068;;
030209;0000;;22,3116;;
030210;0000;;35,9388;;
030211;0000;;34,9845;;
030212;0000;;38,2799;;
030213;0000;;44,8914;;
030214;0000;;34,9685;;
030215;0000;;40,7274;;
030216;0000;;33,4495;;
030217;0000;;33,8616;;
030218;0000;;19,0443;;
030219;0000;;35,4222;;
030220;0000;;36,866;;
030221;0000;;41,8448;;
030222;0000;;33,9315;;
030223;0000;;27,0026;;
030224;0000;;29,5912;;
030225;0000;;35,6965;;
030226;0000;;27,8336;;
030227;0000;;45,0378;;
030228;0000;;33,33;;
030301;0000;;36,1991;;
030302;0000;;27,6696;;
030303;0000;;35,5093;;
030304;0000;;50,396;;
030305;0000;;38,6443;;
030306;0000;;44,1581;;
030307;0000;;42,4874;;
030308;0000;;35,1129;;
030309;0000;;20,6456;;
030310;0000;;27,9926;;
030311;0000;;42,602;;
030312;0000;;47,1074;;
030313;0000;;37,4251;;
030314;0000;;37,1639;;
030315;0000;;33,7906;;
030316;0000;;38,4774;;
030317;0000;;;;
030318;0000;;;;
030319;0000;;5,48166;;
030320;0000;;12,98;;
030321;0000;;16,4587;;
030322;0000;;21,7914;;
030323;0000;;27,0004;;
030324;0000;;17,4258;;
030325;0000;;26,7231;;
030326;0000;;12,8425;;
030327;0000;;10,686;;
030328;0000;;12,5347;;
030329;0000;;22,2;;
030330;0000;;21,8775;;
030331;0000;;27,3515;;
030401;0000;;66,0807;;
030402;0000;;;;
030403;0000;;24,5657;;
030404;0000;;27,0066;;
030405;0000;;30,7302;;
030406;0000;;;;
030407;0000;;28,3044;;
030408;0000;;15,2291;;
030409;0000;;;;
030410;0000;;41,2881;;
030411;0000;;37,9067;;
030412;0000;;22,5795;;
030413;0000;;21,3651;;
030414;0000;;26,5244;;
030415;0000;;23,3415;;
030416;0000;;48,3817;;
030417;0000;;22,6404;;
030418;0000;;19,2708;;
030419;0000;;21,1481;;
030420;0000;;14,3298;;
030421;0000;;17,8964;;
030422;0000;;32,3532;;
030423;0000;;37,5999;;
030424;0000;;60,6369;;
030425;0000;;50,3561;;
030426;0000;;58,5712;;
030427;0000;;37,1675;;
030428;0000;;147,66;;
030429;0000;;50,1702;;
030430;0000;;75,5967;;
030501;0000;;103,825;;
030502;0000;;56,6315;;
030503;0000;;75,7211;;
030504;0000;;72,6333;;
030505;0000;;85,41;;
030506;0000;;20,8015;;
030507;0000;;96,1945;;
030508;0000;;108,288;;
030509;0000;;54,0146;;
030510;0000;;91,1277;;
030511;0000;;99,3245;;
030512;0000;;25,9979;;
030513;0000;;41,8994;;
030514;0000;;149,981;;
030515;0000;;115,967;;
030516;0000;;101,751;;
030517;0000;;70,3523;;
030518;0000;;130,839;;
030519;0000;;99,1923;;
030520;0000;;40,0829;;
030521;0000;;43,0635;;
030522;0000;;51,6652;;
030523;0000;;66,5399;;
030524;0000;;115,017;;
030525;0000;;43,4683;;
030526;0000;;160,469;;
030527;0000;;146,788;;
030528;0000;;44,9818;;
030529;0000;;76,6735;;
030530;0000;;76,9116;;
030531;0000;;47,3577;;
030601;0000;;94,7305;;
030602;0000;;119,718;;
030603;0000;;170,124;;
030604;0000;;14,8669;;
030605;0000;;59,8857;;
030606;0000;;130,463;;
030607;0000;;138,734;;
