FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
091114;0000;;25,2625;;
091115;0000;;15,3708;;
091116;0000;;18,4458;;
091117;0000;;12,8125;;
091118;0000;;24,0458;;
091119;0000;;13,7542;;
091120;0000;;12,6792;;
091121;0000;;18,8833;;
091122;0000;;14,4041;;
091123;0000;;;;
091124;0000;;;;
091125;0000;;9,03749;;
091126;0000;;10,575;;
091127;0000;;6,57082;;
091128;0000;;10,8833;;
091129;0000;;9,49998;;
091130;0000;;11,8708;;
091201;0000;;12,5166;;
091202;0000;;4,87917;;
091203;0000;;8,33333;;
091204;0000;;7,45833;;
091205;0000;;7,84583;;
091206;0000;;11,2042;;
091207;0000;;11,0208;;
091208;0000;;6,81666;;
091209;0000;;5,7375;;
091210;0000;;7,435;;
091211;0000;;;;
091212;0000;;6,52916;;
091213;0000;;5,61249;;
091214;0000;;4,02083;;
091215;0000;;7,99583;;
091216;0000;;8,87498;;
091217;0000;;7,37083;;
091218;0000;;6,18333;;
091219;0000;;8,72499;;
091220;0000;;8,24165;;
091221;0000;;9,75415;;
091222;0000;;7,175;;
091223;0000;;12,4041;;
091224;0000;;7,76665;;
091225;0000;;9,19165;;
091226;0000;;8,04582;;
091227;0000;;9,96666;;
091228;0000;;6,74583;;
091229;0000;;5,14999;;
091230;0000;;7,98749;;
091231;0000;;5,29582;;
100101;0000;;9,17499;;
100102;0000;;6,48332;;
100103;0000;;5,94582;;
100104;0000;;5,02499;;
100105;0000;;5,73749;;
100106;0000;;5,98333;;
100107;0000;;5,93333;;
100108;0000;;8,41249;;
100109;0000;;7,78749;;
100110;0000;;7,25416;;
100111;0000;;5,89582;;
100112;0000;;5,68333;;
100113;0000;;10,95;;
100114;0000;;6,33749;;
100115;0000;;9,25832;;
100116;0000;;8,60832;;
100117;0000;;8,27498;;
100118;0000;;5,28749;;
100119;0000;;5,89583;;
100120;0000;;10,7791;;
100121;0000;;8,37082;;
100122;0000;;5,45415;;
100123;0000;;8,44998;;
100124;0000;;9,39165;;
100125;0000;;12,2875;;
100126;0000;;8,29582;;
100127;0000;;6,55833;;
100128;0000;;7,67916;;
100129;0000;;8,79582;;
100130;0000;;5,77916;;
100131;0000;;6,32082;;
100201;0000;;4,70833;;
100202;0000;;5,10416;;
100203;0000;;7,52083;;
100204;0000;;10,1833;;
100205;0000;;6,04166;;
100206;0000;;7,33749;;
100207;0000;;6,53749;;
100208;0000;;10,8958;;
100209;0000;;7,89999;;
100210;0000;;12,4083;;
100211;0000;;9,92915;;
100212;0000;;6,65416;;
100213;0000;;7,17916;;
100214;0000;;5,49999;;
100215;0000;;5,22916;;
100216;0000;;11,7041;;
100217;0000;;9,33331;;
100218;0000;;6,64999;;
100219;0000;;8,85832;;
100220;0000;;6,06667;;
100221;0000;;6,475;;
100222;0000;;8,90416;;
100223;0000;;7,63749;;
100224;0000;;10,4917;;
100225;0000;;20,8583;;
100226;0000;;10,0208;;
100227;0000;;;;
100228;0000;;18,0833;;
100301;0000;;10,795;;
100302;0000;;13,1292;;
100303;0000;;13,1375;;
100304;0000;;8,72499;;
100305;0000;;15,7166;;
100306;0000;;14,2208;;
100307;0000;;11,4583;;
100308;0000;;8,33333;;
100309;0000;;7,04583;;
100310;0000;;6,09166;;
100311;0000;;7,13332;;
100312;0000;;14,3625;;
100313;0000;;13,6958;;
100314;0000;;9,62631;;
100315;0000;;11,9727;;
100316;0000;;13,5083;;
100317;0000;;8,75833;;
100318;0000;;9,11249;;
100319;0000;;15,3;;
100320;0000;;7,63333;;
100321;0000;;7,02916;;
100322;0000;;9,03749;;
100323;0000;;10,3875;;
100324;0000;;15,9125;;
100325;0000;;16,6166;;
100326;0000;;14,2041;;
100327;0000;;12,6333;;
100328;0000;;8,95415;;
100329;0000;;10,375;;
100330;0000;;11,6083;;
100331;0000;;15,3;;
100401;0000;;13,2708;;
100402;0000;;13,7417;;
100403;0000;;9,99998;;
100404;0000;;14,5542;;
100405;0000;;27,8291;;
100406;0000;;19,55;;
100407;0000;;43,3624;;
100408;0000;;51,6083;;
100409;0000;;57,4457;;
100410;0000;;50,2708;;
100411;0000;;19,9792;;
100412;0000;;38,325;;
100413;0000;;61,4708;;
100414;0000;;55,9874;;
100415;0000;;84,5166;;
100416;0000;;54,7374;;
100417;0000;;31,7083;;
100418;0000;;26,0958;;
100419;0000;;15,575;;
100420;0000;;22,9083;;
100421;0000;;50,8208;;
100422;0000;;95,7625;;
100423;0000;;49,15;;
100424;0000;;80,9333;;
100425;0000;;52,75;;
100426;0000;;61,7375;;
100427;0000;;54,4333;;
100428;0000;;58,5667;;
100429;0000;;67,9625;;
100430;0000;;86,5825;;
100501;0000;;;87,8116;
100502;0000;;;32,0552;
100503;0000;;;41,3726;
100504;0000;;;;
100505;0000;;;;
100506;0000;;;;
100507;0000;;;;
100508;0000;;;;
100509;0000;;;;
100510;0000;;;;
100511;0000;;;;
100512;0000;;;;
100513;0000;;;;
100514;0000;;;;
100515;0000;;156,441;;
100516;0000;;185,883;;
100517;0000;;60,9434;;
100518;0000;;45,3541;;
100519;0000;;121,512;;
100520;0000;;193,587;;
100521;0000;;176,412;;
100522;0000;;54,2999;;
100523;0000;;60,1957;;
100524;0000;;40,3541;;
100525;0000;;61,9458;;
100526;0000;;70,6207;;
100527;0000;;277,637;;
100528;0000;;278,566;;
100529;0000;;123,817;;
100530;0000;;322,795;;
100531;0000;;372,058;;
100601;0000;;131,179;;
100602;0000;;71,3707;;
100603;0000;;54,4083;;
100604;0000;;43,9041;;
100605;0000;;174,7;;
100606;0000;;107,2;;
100607;0000;;145,941;;
100608;0000;;290,945;;
100609;0000;;65,2915;;
100610;0000;;62,5958;;
100611;0000;;13,8458;;
100612;0000;;13,7167;;
100613;0000;;13,8708;;
100614;0000;;15,575;;
100615;0000;;68,0399;;
100616;0000;;44,1791;;
100617;0000;;27,4789;;
100618;0000;;;;
100619;0000;;;;
100620;0000;;;;
100621;0000;;;;
100622;0000;;;;
100623;0000;;;;
100624;0000;;;;
100625;0000;;;;
100626;0000;;;;
100627;0000;;;;
100628;0000;;;;
100629;0000;;;;
100630;0000;;;;
100701;0000;;;;
100702;0000;;;;
100703;0000;;;;
