FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
060523;0000;;10,0095;;
060524;0000;;4,97083;;
060525;0000;;2,50416;;
060526;0000;;7,69166;;
060527;0000;;9,09999;;
060528;0000;;8,29999;;
060529;0000;;11,5958;;
060530;0000;;7,925;;
060531;0000;;3,90416;;
060601;0000;;8,94998;;
060602;0000;;9,89165;;
060603;0000;;8,73332;;
060604;0000;;6,83333;;
060605;0000;;4,40833;;
060606;0000;;2,34583;;
060607;0000;;1,97916;;
060608;0000;;7,62916;;
060609;0000;;15,8833;;
060610;0000;;10,55;;
060611;0000;;1,95833;;
060612;0000;;5,2;;
060613;0000;;11,4583;;
060614;0000;;10,4826;;
060615;0000;;9,25832;;
060616;0000;;6,04166;;
060617;0000;;4,30416;;
060618;0000;;3,17083;;
060619;0000;;3,475;;
060620;0000;;6,23333;;
060621;0000;;10,6208;;
060622;0000;;13,6083;;
060623;0000;;9,14165;;
060624;0000;;7,36249;;
060625;0000;;8,39999;;
060626;0000;;7,42083;;
060627;0000;;10,425;;
060628;0000;;9,67915;;
060629;0000;;9,01665;;
060630;0000;;10,9;;
060701;0000;;2,88333;;
060702;0000;;5,57499;;
060703;0000;;13,0087;;
060704;0000;;9,97499;;
060705;0000;;7,11249;;
060706;0000;;4,1375;;
060707;0000;;4,15833;;
060708;0000;;6,33333;;
060709;0000;;2,38333;;
060710;0000;;0,570832;;
060711;0000;;7,93478;;
060712;0000;;6,27916;;
060713;0000;;14,0417;;
060714;0000;;15,2583;;
060715;0000;;13,2625;;
060716;0000;;9,76248;;
060717;0000;;8,02083;;
060718;0000;;9,77499;;
060719;0000;;;11,425;
060720;0000;;;6,93749;
060721;0000;;3,87083;;
060722;0000;;7,35833;;
060723;0000;;4,72083;;
060724;0000;;1,97083;;
060725;0000;;9,41666;;
060726;0000;;9,73332;;
060727;0000;;12,825;;
060728;0000;;13,3875;;
060729;0000;;11,075;;
060730;0000;;12,2708;;
060731;0000;;17,3954;;
060801;0000;;16,475;;
060802;0000;;9,12915;;
060803;0000;;10,1875;;
060804;0000;;8,72916;;
060805;0000;;11,1208;;
060806;0000;;3,34166;;
060807;0000;;4,03333;;
060808;0000;;3,44166;;
060809;0000;;5,24999;;
060810;0000;;2,14166;;
060811;0000;;2,625;;
060812;0000;;10,4458;;
060813;0000;;1,8375;;
060814;0000;;6,87916;;
060815;0000;;7,29583;;
060816;0000;;11,9958;;
060817;0000;;9,96521;;
060818;0000;;8,82915;;
060819;0000;;7,99166;;
060820;0000;;4,4875;;
060821;0000;;7,55416;;
060822;0000;;8,40833;;
060823;0000;;8,01666;;
060824;0000;;8,90416;;
060825;0000;;6,68333;;
060826;0000;;8,92915;;
060827;0000;;7,01666;;
060828;0000;;7,21666;;
060829;0000;;6,15833;;
060830;0000;;2,13913;;
060831;0000;;5,78749;;
060901;0000;;9,23749;;
060902;0000;;9,58333;;
060903;0000;;8,99165;;
060904;0000;;14,4958;;
060905;0000;;14,6375;;
060906;0000;;12,0125;;
060907;0000;;9,02083;;
060908;0000;;8,19165;;
060909;0000;;2,84166;;
060910;0000;;2,75833;;
060911;0000;;6,22499;;
060912;0000;;7,46666;;
060913;0000;;6,67083;;
060914;0000;;6,31249;;
060915;0000;;6,88332;;
060916;0000;;5,95416;;
060917;0000;;5,84166;;
060918;0000;;5,02916;;
060919;0000;;5,02499;;
060920;0000;;4,66249;;
060921;0000;;3,025;;
060922;0000;;3,65833;;
060923;0000;;6,63332;;
060924;0000;;4,93333;;
060925;0000;;5,19166;;
060926;0000;;3,76666;;
060927;0000;;4,71666;;
060928;0000;;3,65416;;
060929;0000;;3,55909;;
060930;0000;;4,83478;;
061001;0000;;4,55416;;
061002;0000;;6,66666;;
061003;0000;;5,50416;;
061004;0000;;4,99166;;
061005;0000;;5,78333;;
061006;0000;;4,81666;;
061007;0000;;4,54166;;
061008;0000;;2,67916;;
061009;0000;;2,8875;;
061010;0000;;1,72916;;
061011;0000;;5,33749;;
061012;0000;;4,80526;;
061013;0000;;3,10416;;
061014;0000;;1,71667;;
061015;0000;;3,02916;;
061016;0000;;2,6375;;
061017;0000;;3,32916;;
061018;0000;;2,40416;;
061019;0000;;4,45416;;
061020;0000;;3,07083;;
061021;0000;;5,43499;;
061022;0000;;3,3625;;
061023;0000;;2,6625;;
061024;0000;;1,40833;;
061025;0000;;3,3625;;
061026;0000;;2,07083;;
061027;0000;;2,2625;;
061028;0000;;3,0625;;
061029;0000;;2,32083;;
061030;0000;;3,36666;;
061031;0000;;4,73158;;
061101;0000;;2,78333;;
061102;0000;;3,21666;;
061103;0000;;3,14583;;
061104;0000;;2,44583;;
061105;0000;;0,858333;;
061106;0000;;2,25416;;
061107;0000;;2,01666;;
061108;0000;;2,2125;;
061109;0000;;2,19583;;
061110;0000;;6,46249;;
061111;0000;;1,79583;;
061112;0000;;2,5625;;
061113;0000;;5,52083;;
061114;0000;;2,325;;
061115;0000;;3,175;;
061116;0000;;4,56249;;
061117;0000;;3,55909;;
061118;0000;;3,53333;;
061119;0000;;2,2875;;
061120;0000;;2,45;;
061121;0000;;4,00832;;
061122;0000;;2,70416;;
061123;0000;;2,72083;;
061124;0000;;2,90833;;
061125;0000;;3,425;;
061126;0000;;1,5625;;
061127;0000;;1,4;;
061128;0000;;1,54583;;
061129;0000;;1,62917;;
061130;0000;;1,71667;;
061201;0000;;4,01817;;
061202;0000;;3,35833;;
061203;0000;;2,225;;
061204;0000;;1,97083;;
061205;0000;;1,83333;;
061206;0000;;1,85416;;
061207;0000;;2,8625;;
061208;0000;;3,41249;;
061209;0000;;1,98333;;
061210;0000;;0,904165;;
061211;0000;;1,9125;;
061212;0000;;4,10416;;
061213;0000;;4,56249;;
061214;0000;;5,09564;;
061215;0000;;2,7125;;
061216;0000;;1,72083;;
061217;0000;;3,59166;;
061218;0000;;1,69167;;
061219;0000;;2,54166;;
061220;0000;;2,70416;;
061221;0000;;2,30416;;
061222;0000;;2,81739;;
061223;0000;;2,4625;;
061224;0000;;2,41666;;
061225;0000;;2,575;;
061226;0000;;1,47916;;
061227;0000;;2,88333;;
061228;0000;;3,47083;;
061229;0000;;2,2625;;
061230;0000;;0,524999;;
061231;0000;;0,691666;;
070101;0000;;1,04583;;
070102;0000;;1,6625;;
070103;0000;;1,45714;;
