FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
050224;0000;;5,13477;;
050225;0000;;5,13477;;
050226;0000;;3,15652;;
050227;0000;;3,43043;;
050228;0000;;11,6304;;
050301;0000;;8,94347;;
050302;0000;;12,1087;;
050303;0000;;6,51303;;
050304;0000;;5,56956;;
050305;0000;;9,01303;;
050306;0000;;8,43477;;
050307;0000;;12,9826;;
050308;0000;;12,4435;;
050309;0000;;11,3391;;
050310;0000;;9,63911;;
050311;0000;;11,2261;;
050312;0000;;15,3682;;
050313;0000;;13,5217;;
050314;0000;;10,2652;;
050315;0000;;7,25217;;
050316;0000;;21,0043;;
050317;0000;;16,5217;;
050318;0000;;17,3956;;
050319;0000;;14,8652;;
050320;0000;;6,01304;;
050321;0000;;11,3522;;
050322;0000;;15,1522;;
050323;0000;;7,66666;;
050324;0000;;;8,70868;
050325;0000;;2,53478;;
050326;0000;;6,08695;;
050327;0000;;7,66086;;
050328;0000;;5,94782;;
050329;0000;;10,8174;;
050330;0000;;18,6782;;
050331;0000;;19,9;;
050401;0000;;10,8522;;
050402;0000;;13,9695;;
050403;0000;;7,94347;;
050404;0000;;16,7391;;
050405;0000;;19,326;;
050406;0000;;12,4609;;
050407;0000;;21,4782;;
050408;0000;;29,4608;;
050409;0000;;15,4869;;
050410;0000;;12,9869;;
050411;0000;;22,1739;;
050412;0000;;32,1052;;
050413;0000;;19,7591;;
050414;0000;;14,4217;;
050415;0000;;21,0348;;
050416;0000;;8,48259;;
050417;0000;;10,1043;;
050418;0000;;9,95216;;
050419;0000;;20,2652;;
050420;0000;;23,2869;;
050421;0000;;35,7956;;
050422;0000;;25,2;;
050423;0000;;8,50433;;
050424;0000;;23,8521;;
050425;0000;;36,8652;;
050426;0000;;33,1565;;
050427;0000;;20,6043;;
050428;0000;;32,5173;;
050429;0000;;36,0347;;
050430;0000;;21,4521;;
050501;0000;;6,36956;;
050502;0000;;21,9217;;
050503;0000;;6,31738;;
050504;0000;;16,2087;;
050505;0000;;25,1619;;
050506;0000;;40,7956;;
050507;0000;;28,6565;;
050508;0000;;9,10869;;
050509;0000;;3,97826;;
050510;0000;;8,12608;;
050511;0000;;8,18694;;
050512;0000;;30,0087;;
050513;0000;;17,2348;;
050514;0000;;35,6217;;
050515;0000;;6,23477;;
050516;0000;;3,22173;;
050517;0000;;8,63477;;
050518;0000;;11,3652;;
050519;0000;;17,5652;;
050520;0000;;26,7043;;
050521;0000;;22,3869;;
050522;0000;;3,11818;;
050523;0000;;;;
050524;0000;;;;
050525;0000;;18,7869;;
050526;0000;;11,8174;;
050527;0000;;2,94347;;
050528;0000;;;;
050529;0000;;;;
050530;0000;;;;
050531;0000;;19,75;;
050601;0000;;14,0304;;
050602;0000;;14,3956;;
050603;0000;;11,4391;;
050604;0000;;10,9;;
050605;0000;;17,7261;;
050606;0000;;11,2782;;
050607;0000;;23,1091;;
050608;0000;;15,55;;
050609;0000;;;4,17083;
050610;0000;;7,24782;;
050611;0000;;2,40434;;
050612;0000;;21,3565;;
050613;0000;;20,0174;;
050614;0000;;26,3722;;
050615;0000;;52,5262;;
050616;0000;;31,1522;;
050617;0000;;21,05;;
050618;0000;;;16,6625;
050619;0000;;29,8434;;
050620;0000;;32,6391;;
050621;0000;;13,3043;;
050622;0000;;42,0477;;
050623;0000;;16,2727;;
050624;0000;;12,8522;;
050625;0000;;9,78259;;
050626;0000;;1,32174;;
050627;0000;;4,96521;;
050628;0000;;21,3347;;
050629;0000;;34,9478;;
050630;0000;;2,72174;;
050701;0000;;5,09999;;
050702;0000;;2,75217;;
050703;0000;;7,4826;;
050704;0000;;14,9217;;
050705;0000;;33,7608;;
050706;0000;;;16,3625;
050707;0000;;;30,15;
050708;0000;;39,5347;;
050709;0000;;45,613;;
050710;0000;;43,6304;;
050711;0000;;45,826;;
050712;0000;;11,6522;;
050713;0000;;29,3217;;
050714;0000;;46,0217;;
050715;0000;;28,7695;;
050716;0000;;23,0565;;
050717;0000;;26,1217;;
050718;0000;;58,6652;;
050719;0000;;38,6608;;
050720;0000;;19,2;;
050721;0000;;23,6869;;
050722;0000;;36,3304;;
050723;0000;;33,6043;;
050724;0000;;50,7651;;
050725;0000;;78,926;;
050726;0000;;36,2869;;
050727;0000;;28,8391;;
050728;0000;;24,2217;;
050729;0000;;8,55215;;
050730;0000;;8,97824;;
050731;0000;;11,9739;;
050801;0000;;4,5913;;
050802;0000;;14,4182;;
050803;0000;;7,47726;;
050804;0000;;23,8391;;
050805;0000;;13,9;;
050806;0000;;17,6261;;
050807;0000;;38,626;;
050808;0000;;44,8043;;
050809;0000;;45,0217;;
050810;0000;;50,4217;;
050811;0000;;17,7304;;
050812;0000;;16,0826;;
050813;0000;;17;;
050814;0000;;33,5912;;
050815;0000;;13,3782;;
050816;0000;;4,63912;;
050817;0000;;28,8608;;
050818;0000;;42,7825;;
050819;0000;;45,5047;;
050820;0000;;5,53477;;
050821;0000;;9,39998;;
050822;0000;;14,213;;
050823;0000;;37,1086;;
050824;0000;;31,2521;;
050825;0000;;15,6652;;
050826;0000;;7,74782;;
050827;0000;;9,79129;;
050828;0000;;13,0826;;
050829;0000;;20,5174;;
050830;0000;;31,6434;;
050831;0000;;26,0826;;
050901;0000;;18,8043;;
050902;0000;;15,6609;;
050903;0000;;12,3869;;
050904;0000;;12,613;;
050905;0000;;12,1826;;
050906;0000;;7,09564;;
050907;0000;;7,03477;;
050908;0000;;10,313;;
050909;0000;;9,99564;;
050910;0000;;9,27824;;
050911;0000;;21,4391;;
050912;0000;;6,96086;;
050913;0000;;16,2889;;
050914;0000;;;16,1333;
050915;0000;;15,0789;;
050916;0000;;;9,54582;
050917;0000;;;6,50832;
050918;0000;;6,07368;;
050919;0000;;8,06248;;
050920;0000;;7,39166;;
050921;0000;;11,8916;;
050922;0000;;14,1041;;
050923;0000;;9,86249;;
050924;0000;;14,375;;
050925;0000;;8,59999;;
050926;0000;;3,85714;;
050927;0000;;3,89583;;
050928;0000;;6,99166;;
050929;0000;;16,6;;
050930;0000;;15,5291;;
051001;0000;;14,8;;
051002;0000;;3,50833;;
051003;0000;;6,77916;;
051004;0000;;9,46519;;
051005;0000;;4,02916;;
051006;0000;;4,17916;;
051007;0000;;6,62916;;
051008;0000;;6,99999;;
051009;0000;;2,47499;;
051010;0000;;3,05833;;
051011;0000;;1,74583;;
051012;0000;;7,46666;;
051013;0000;;11,7083;;
051014;0000;;8,62082;;
051015;0000;;3,64583;;
051016;0000;;7,26665;;
051017;0000;;10,3083;;
051018;0000;;4,08333;;
051019;0000;;5,12173;;
051020;0000;;7,58749;;
051021;0000;;5,49999;;
051022;0000;;7,97499;;
051023;0000;;4,17082;;
051024;0000;;5,78749;;
051025;0000;;6,23332;;
051026;0000;;15,0916;;
051027;0000;;14,1542;;
051028;0000;;7,63332;;
051029;0000;;4,39583;;
051030;0000;;2,12083;;
051031;0000;;2,06666;;
051101;0000;;4,08333;;
051102;0000;;4,7375;;
051103;0000;;7,87499;;
051104;0000;;14,1958;;
051105;0000;;5,22173;;
051106;0000;;7,90833;;
051107;0000;;5,55833;;
051108;0000;;7,51249;;
051109;0000;;3,42083;;
051110;0000;;2,56666;;
051111;0000;;5,70416;;
051112;0000;;4,97916;;
051113;0000;;5,32083;;
051114;0000;;11,6;;
051115;0000;;12,6416;;
051116;0000;;10,6541;;
051117;0000;;7,70833;;
051118;0000;;8,51666;;
051119;0000;;6,79166;;
051120;0000;;8,92915;;
051121;0000;;4,51666;;
051122;0000;;7,03749;;
051123;0000;;5,50416;;
051124;0000;;4,39999;;
051125;0000;;8,05832;;
051126;0000;;6,27916;;
051127;0000;;3,99166;;
051128;0000;;9,24165;;
051129;0000;;6,05416;;
051130;0000;;5,88749;;
051201;0000;;5,92499;;
051202;0000;;4,50475;;
051203;0000;;3,42916;;
051204;0000;;1,92916;;
051205;0000;;6,22916;;
051206;0000;;9,90833;;
051207;0000;;7,2375;;
051208;0000;;8,09999;;
051209;0000;;8,32082;;
051210;0000;;2,2625;;
051211;0000;;1,09583;;
051212;0000;;2,34166;;
051213;0000;;3,35833;;
051214;0000;;3,64583;;
051215;0000;;3,47142;;
051216;0000;;2,28333;;
051217;0000;;3,95833;;
051218;0000;;2,05;;
051219;0000;;3,79166;;
051220;0000;;3,52083;;
051221;0000;;4,16249;;
051222;0000;;2,0875;;
051223;0000;;4,47499;;
051224;0000;;3,81666;;
051225;0000;;6,02083;;
051226;0000;;5,09166;;
051227;0000;;5,46249;;
051228;0000;;3,91249;;
051229;0000;;3,42083;;
051230;0000;;3,3375;;
051231;0000;;2,85416;;
060101;0000;;1,84583;;
060102;0000;;4,3875;;
060103;0000;;7,18947;;
060104;0000;;9,19582;;
060105;0000;;3,77083;;
060106;0000;;6,00416;;
060107;0000;;9,02083;;
060108;0000;;6,2;;
060109;0000;;4,62499;;
060110;0000;;8,11249;;
060111;0000;;9,56665;;
060112;0000;;8,01666;;
060113;0000;;5,3;;
060114;0000;;3,9625;;
060115;0000;;2,52916;;
060116;0000;;5,68333;;
060117;0000;;5,66249;;
060118;0000;;2,93333;;
060119;0000;;6,95416;;
060120;0000;;6,93913;;
060121;0000;;10,0875;;
060122;0000;;4,6125;;
060123;0000;;3,83333;;
060124;0000;;4,90416;;
060125;0000;;5,64166;;
060126;0000;;4,74166;;
060127;0000;;4,94583;;
060128;0000;;5,475;;
060129;0000;;2,49166;;
060130;0000;;3,9625;;
060131;0000;;4,97916;;
060201;0000;;3,59166;;
060202;0000;;2,5125;;
060203;0000;;11,1;;
060204;0000;;3,52916;;
060205;0000;;3,30833;;
060206;0000;;3,78749;;
060207;0000;;5,44782;;
060208;0000;;6,50833;;
060209;0000;;4,42916;;
060210;0000;;3,7;;
060211;0000;;;13,3458;
060212;0000;;;13,725;
060213;0000;;8,94736;;
060214;0000;;4,425;;
060215;0000;;2,8;;
060216;0000;;3,19583;;
060217;0000;;11,9083;;
060218;0000;;9,28749;;
060219;0000;;6,62083;;
060220;0000;;4,45833;;
060221;0000;;10,4917;;
060222;0000;;5,13042;;
060223;0000;;5,94582;;
060224;0000;;5,38749;;
