FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
050510;0000;;2,87826;;
050511;0000;;2,5;;
050512;0000;;20,8913;;
050513;0000;;8,74782;;
050514;0000;;23,8956;;
050515;0000;;1,76087;;
050516;0000;;0,0347825;;
050517;0000;;3,10434;;
050518;0000;;4,25652;;
050519;0000;;8,23042;;
050520;0000;;15,4217;;
050521;0000;;10,9522;;
050522;0000;;0,331818;;
050523;0000;;;;
050524;0000;;;;
050525;0000;;9,61739;;
050526;0000;;3,42173;;
050527;0000;;0,352173;;
050528;0000;;;;
050529;0000;;;;
050530;0000;;;;
050531;0000;;8,68181;;
050601;0000;;6,49564;;
050602;0000;;6,54781;;
050603;0000;;2,5;;
050604;0000;;2,42608;;
050605;0000;;8,47391;;
050606;0000;;4,07825;;
050607;0000;;13,8363;;
050608;0000;;8,7818;;
050609;0000;;;3,08333;
050610;0000;;2,62173;;
050611;0000;;0,682608;;
050612;0000;;14,6609;;
050613;0000;;12,2695;;
050614;0000;;17,6389;;
050615;0000;;38,3789;;
050616;0000;;22,3217;;
050617;0000;;13,495;;
050618;0000;;;11;
050619;0000;;22,6652;;
050620;0000;;23,6174;;
050621;0000;;8,6913;;
050622;0000;;30,2478;;
050623;0000;;7,6409;;
050624;0000;;3,94347;;
050625;0000;;2,81739;;
050626;0000;;0,669564;;
050627;0000;;1,59565;;
050628;0000;;9,81738;;
050629;0000;;23,3695;;
050630;0000;;0,213043;;
050701;0000;;0,686955;;
050702;0000;;0,51739;;
050703;0000;;1,79565;;
050704;0000;;7,1739;;
050705;0000;;20,9174;;
050706;0000;;;12,6;
050707;0000;;;12,3208;
050708;0000;;27,3;;
050709;0000;;31,2478;;
050710;0000;;33,2869;;
050711;0000;;30,0217;;
050712;0000;;3,76956;;
050713;0000;;20,313;;
050714;0000;;31,3391;;
050715;0000;;15,6913;;
050716;0000;;9,10434;;
050717;0000;;14,813;;
050718;0000;;45,7869;;
050719;0000;;25,3043;;
050720;0000;;8,79564;;
050721;0000;;12,1348;;
050722;0000;;22,1391;;
050723;0000;;20,5174;;
050724;0000;;38,5782;;
050725;0000;;61,8043;;
050726;0000;;21,6565;;
050727;0000;;14,1696;;
050728;0000;;11,3609;;
050729;0000;;3,85652;;
050730;0000;;3,23913;;
050731;0000;;4,30434;;
050801;0000;;2,20435;;
050802;0000;;6,84544;;
050803;0000;;2,55;;
050804;0000;;10,0522;;
050805;0000;;6,67825;;
050806;0000;;7,0826;;
050807;0000;;22,7782;;
050808;0000;;23,9043;;
050809;0000;;25,8087;;
050810;0000;;37,6434;;
050811;0000;;8,7739;;
050812;0000;;5,03477;;
050813;0000;;6,25217;;
050814;0000;;20,9304;;
050815;0000;;5,82608;;
050816;0000;;1,14782;;
050817;0000;;17,7348;;
050818;0000;;31,1391;;
050819;0000;;26,0285;;
050820;0000;;1,17826;;
050821;0000;;3,34348;;
050822;0000;;6,39565;;
050823;0000;;24,1652;;
050824;0000;;20,313;;
050825;0000;;7,2739;;
050826;0000;;4,16956;;
050827;0000;;4,44347;;
050828;0000;;6,6739;;
050829;0000;;9,98694;;
050830;0000;;19,9348;;
050831;0000;;15,4956;;
050901;0000;;7,99564;;
050902;0000;;5,66521;;
050903;0000;;3,96956;;
050904;0000;;2,82174;;
050905;0000;;2,34348;;
050906;0000;;1,34782;;
050907;0000;;1,3913;;
050908;0000;;2,84782;;
050909;0000;;2,42608;;
050910;0000;;2,27391;;
050911;0000;;10,8391;;
050912;0000;;2,16956;;
050913;0000;;7,76666;;
050914;0000;;;10,4125;
050915;0000;;6,63683;;
050916;0000;;;7,24999;
050917;0000;;;5,72499;
050918;0000;;2,28421;;
050919;0000;;3,07083;;
050920;0000;;2,94583;;
050921;0000;;4,18749;;
050922;0000;;6,77499;;
050923;0000;;3,43333;;
050924;0000;;6,87083;;
050925;0000;;2,99583;;
050926;0000;;1,09048;;
050927;0000;;0,570832;;
050928;0000;;1,28333;;
050929;0000;;7,86666;;
050930;0000;;7,37499;;
051001;0000;;6,04166;;
051002;0000;;0,325;;
051003;0000;;1,7;;
051004;0000;;3,0826;;
051005;0000;;1,40833;;
051006;0000;;1,3375;;
051007;0000;;1,6;;
051008;0000;;2,63913;;
051009;0000;;0,487499;;
051010;0000;;0,241667;;
051011;0000;;0,195833;;
051012;0000;;2,31667;;
051013;0000;;4,48333;;
051014;0000;;3,09166;;
051015;0000;;0,949999;;
051016;0000;;1,975;;
051017;0000;;4,59583;;
051018;0000;;1,97916;;
051019;0000;;2,76086;;
051020;0000;;2,925;;
051021;0000;;0,991303;;
051022;0000;;3,90833;;
051023;0000;;1,67916;;
051024;0000;;1,9875;;
051025;0000;;1,77083;;
051026;0000;;7,60832;;
051027;0000;;6,95415;;
051028;0000;;3,37916;;
051029;0000;;1,85833;;
051030;0000;;0,5;;
051031;0000;;1,17916;;
051101;0000;;2,67083;;
051102;0000;;3,0875;;
051103;0000;;4,10832;;
051104;0000;;8,34583;;
051105;0000;;3,02608;;
051106;0000;;4,53333;;
051107;0000;;3,16666;;
051108;0000;;4,08749;;
051109;0000;;1,075;;
051110;0000;;0,616666;;
051111;0000;;3,525;;
051112;0000;;3,55;;
051113;0000;;3,78333;;
051114;0000;;6,79999;;
051115;0000;;7,36666;;
051116;0000;;5,56249;;
051117;0000;;3,86666;;
051118;0000;;4,84583;;
051119;0000;;4,45416;;
051120;0000;;6,04582;;
051121;0000;;2,99166;;
051122;0000;;3,48333;;
051123;0000;;2,95833;;
051124;0000;;2,65833;;
051125;0000;;4,94999;;
051126;0000;;3,64166;;
051127;0000;;3,1125;;
051128;0000;;6,20833;;
051129;0000;;4,45833;;
051130;0000;;4,37916;;
051201;0000;;3,47083;;
051202;0000;;2,18095;;
051203;0000;;0,908332;;
051204;0000;;0,733333;;
051205;0000;;3,46249;;
051206;0000;;6,22916;;
051207;0000;;3,15833;;
051208;0000;;4,13332;;
051209;0000;;4,61666;;
051210;0000;;0,495832;;
051211;0000;;0,337499;;
051212;0000;;1,0875;;
051213;0000;;1,65;;
051214;0000;;1,92916;;
051215;0000;;2,1619;;
051216;0000;;1,24166;;
051217;0000;;2,09166;;
051218;0000;;1,62083;;
051219;0000;;2,2625;;
051220;0000;;1,57083;;
051221;0000;;2,29166;;
051222;0000;;1,05416;;
051223;0000;;2,2375;;
051224;0000;;1,4375;;
051225;0000;;4,00416;;
051226;0000;;2,9875;;
051227;0000;;2,6125;;
051228;0000;;2,50833;;
051229;0000;;1,69167;;
051230;0000;;1,4;;
051231;0000;;1,48333;;
060101;0000;;0,4625;;
060102;0000;;3,02916;;
060103;0000;;4,86842;;
060104;0000;;5,57916;;
060105;0000;;2,88333;;
060106;0000;;4,03749;;
060107;0000;;6,62083;;
060108;0000;;5,12916;;
060109;0000;;4,25416;;
060110;0000;;7,28749;;
060111;0000;;8,87498;;
060112;0000;;7,52499;;
060113;0000;;5,12916;;
060114;0000;;3,84583;;
060115;0000;;2,30833;;
060116;0000;;4,99583;;
060117;0000;;5,32082;;
060118;0000;;2,09583;;
060119;0000;;5,03333;;
060120;0000;;5,23478;;
060121;0000;;7,49166;;
060122;0000;;3,22916;;
060123;0000;;2,67916;;
060124;0000;;3,68333;;
060125;0000;;4,18749;;
060126;0000;;3,125;;
060127;0000;;3,32083;;
060128;0000;;4,22083;;
060129;0000;;1,55;;
060130;0000;;2,52083;;
060131;0000;;2,81667;;
060201;0000;;1,45416;;
060202;0000;;1,19167;;
060203;0000;;8,21666;;
060204;0000;;2,3125;;
060205;0000;;1,81667;;
060206;0000;;2,18333;;
060207;0000;;3,87826;;
060208;0000;;5,00416;;
060209;0000;;2,4375;;
060210;0000;;1,775;;
060211;0000;;;13,075;
060212;0000;;;13,3916;
060213;0000;;6,27894;;
060214;0000;;2,4125;;
060215;0000;;1,09167;;
060216;0000;;1,04583;;
060217;0000;;9,07915;;
060218;0000;;6,19583;;
060219;0000;;4,19166;;
060220;0000;;2,16666;;
060221;0000;;6,66666;;
060222;0000;;2,55217;;
060223;0000;;3,47916;;
060224;0000;;2,67916;;
060225;0000;;0,979165;;
060226;0000;;1,725;;
060227;0000;;5,64166;;
060228;0000;;2,575;;
060301;0000;;2,3125;;
060302;0000;;2,56667;;
060303;0000;;2,10416;;
060304;0000;;7,07082;;
060305;0000;;5,10416;;
060306;0000;;3,35833;;
060307;0000;;6,90434;;
060308;0000;;2,8375;;
060309;0000;;7,2739;;
060310;0000;;9,93332;;
060311;0000;;9,80869;;
060312;0000;;10,0375;;
060313;0000;;3,47916;;
060314;0000;;6,20416;;
060315;0000;;8,18332;;
060316;0000;;8,15833;;
060317;0000;;11,5833;;
060318;0000;;15,8375;;
060319;0000;;3,40416;;
060320;0000;;4,31666;;
060321;0000;;3,02916;;
060322;0000;;9,82915;;
060323;0000;;7,33749;;
060324;0000;;16,4875;;
060325;0000;;12,8625;;
060326;0000;;4,71249;;
060327;0000;;6,24166;;
060328;0000;;4,74583;;
060329;0000;;9,89583;;
060330;0000;;9,62726;;
060331;0000;;4,73333;;
060401;0000;;5,36666;;
060402;0000;;3,7375;;
060403;0000;;10,3667;;
060404;0000;;11,275;;
060405;0000;;14,2625;;
060406;0000;;10,0667;;
060407;0000;;15,425;;
060408;0000;;8,75415;;
060409;0000;;1,14583;;
060410;0000;;2,05;;
060411;0000;;5,62916;;
060412;0000;;3,64166;;
060413;0000;;6,16521;;
060414;0000;;3,87083;;
060415;0000;;6,95416;;
060416;0000;;11,8042;;
060417;0000;;24,825;;
060418;0000;;2,28333;;
060419;0000;;0,0434782;;
060420;0000;;13,55;;
060421;0000;;9,94998;;
060422;0000;;;0;
060423;0000;;;0;
060424;0000;;;;
060425;0000;;;;
060426;0000;;12,8833;;
060427;0000;;19,8416;;
060428;0000;;6,25416;;
060429;0000;;13,1625;;
060430;0000;;16,2416;;
060501;0000;;21,6458;;
060502;0000;;21,7666;;
060503;0000;;3,3;;
060504;0000;;4,1125;;
060505;0000;;19,6416;;
060506;0000;;26,8041;;
060507;0000;;25,0916;;
060508;0000;;18,5833;;
060509;0000;;4,14285;;
060510;0000;;15,4333;;
060511;0000;;31,8958;;
060512;0000;;19,9;;
060513;0000;;9,12082;;
060514;0000;;2,7375;;
060515;0000;;4,95833;;
060516;0000;;3,675;;
060517;0000;;5,45416;;
060518;0000;;;14,4625;
060519;0000;;;32,7083;
060520;0000;;33,9681;;
060521;0000;;;30,1083;
060522;0000;;44,1041;;
060523;0000;;16,919;;
060524;0000;;3,44583;;
060525;0000;;4,03333;;
060526;0000;;16,0541;;
060527;0000;;41,5791;;
060528;0000;;14,5042;;
060529;0000;;35,2333;;
060530;0000;;14,6292;;
060531;0000;;3,5125;;
060601;0000;;12,7958;;
060602;0000;;30,9291;;
060603;0000;;14,2458;;
060604;0000;;5,06249;;
060605;0000;;5,67083;;
060606;0000;;3,82916;;
060607;0000;;3,14166;;
060608;0000;;19,1208;;
060609;0000;;58,1583;;
060610;0000;;28,4166;;
060611;0000;;2,12916;;
060612;0000;;4,79166;;
060613;0000;;23,6416;;
060614;0000;;26,1261;;
060615;0000;;9,96666;;
060616;0000;;7,01666;;
060617;0000;;2,38333;;
060618;0000;;1,14583;;
060619;0000;;1,22917;;
060620;0000;;2,47916;;
060621;0000;;19,0166;;
060622;0000;;15,7292;;
060623;0000;;6,72499;;
060624;0000;;4,075;;
060625;0000;;9,62082;;
060626;0000;;5,23333;;
060627;0000;;25,7583;;
060628;0000;;17,6042;;
060629;0000;;12,8833;;
060630;0000;;8,01738;;
060701;0000;;1,7875;;
060702;0000;;13,625;;
060703;0000;;27,9695;;
060704;0000;;33,4291;;
060705;0000;;14,2708;;
060706;0000;;2,96666;;
060707;0000;;1,0375;;
060708;0000;;7,45833;;
060709;0000;;1,4125;;
060710;0000;;2,06667;;
060711;0000;;1,64348;;
060712;0000;;2,57083;;
060713;0000;;16,6083;;
060714;0000;;27,5916;;
060715;0000;;12,5333;;
060716;0000;;4,8875;;
060717;0000;;6,80833;;
060718;0000;;19,1917;;
060719;0000;;;10,7708;
060720;0000;;;4,36665;
060721;0000;;0,129166;;
060722;0000;;6,17916;;
060723;0000;;0,104167;;
060724;0000;;0,120833;;
060725;0000;;4,06249;;
060726;0000;;6,75416;;
060727;0000;;8,39583;;
060728;0000;;29,4291;;
060729;0000;;43,9249;;
060730;0000;;29,3416;;
060731;0000;;46,0636;;
060801;0000;;18,1292;;
060802;0000;;5,41666;;
060803;0000;;6,97083;;
060804;0000;;12,4;;
060805;0000;;15,9792;;
060806;0000;;0,216666;;
060807;0000;;0,766666;;
060808;0000;;0,441666;;
060809;0000;;4,05;;
060810;0000;;0,541666;;
060811;0000;;0,791666;;
060812;0000;;7,43333;;
060813;0000;;0,629166;;
060814;0000;;9,41249;;
060815;0000;;12,5125;;
060816;0000;;13,7292;;
060817;0000;;13,9217;;
060818;0000;;14,6042;;
060819;0000;;17,075;;
060820;0000;;3,34166;;
060821;0000;;7,20416;;
060822;0000;;5,45833;;
060823;0000;;15,8042;;
060824;0000;;19,6;;
060825;0000;;3,82083;;
060826;0000;;3,4;;
060827;0000;;1,47916;;
060828;0000;;5,44166;;
060829;0000;;3,95833;;
060830;0000;;0,956521;;
060831;0000;;2,68333;;
060901;0000;;9,08333;;
060902;0000;;15,9458;;
060903;0000;;4,52499;;
060904;0000;;25,225;;
060905;0000;;24,1541;;
060906;0000;;6,58749;;
060907;0000;;6,68333;;
060908;0000;;5,24583;;
060909;0000;;1,625;;
060910;0000;;1,75833;;
060911;0000;;3,3375;;
060912;0000;;5,66249;;
060913;0000;;3,09999;;
060914;0000;;5,91249;;
060915;0000;;7,83333;;
060916;0000;;2,62916;;
060917;0000;;4,48333;;
060918;0000;;2,69166;;
060919;0000;;3,74166;;
060920;0000;;2,86666;;
060921;0000;;1,74166;;
060922;0000;;3,26666;;
060923;0000;;8,25415;;
060924;0000;;12,5292;;
060925;0000;;8,93332;;
060926;0000;;2,80416;;
060927;0000;;6,82082;;
060928;0000;;4,04166;;
060929;0000;;1,8;;
060930;0000;;6,85217;;
061001;0000;;3,8125;;
061002;0000;;13,0166;;
061003;0000;;10,95;;
061004;0000;;6,94999;;
061005;0000;;6,03749;;
061006;0000;;5,97499;;
061007;0000;;4,71666;;
061008;0000;;2,34583;;
061009;0000;;8,65416;;
061010;0000;;1,54166;;
061011;0000;;3,97916;;
061012;0000;;3,22631;;
061013;0000;;3,16666;;
061014;0000;;2,54583;;
061015;0000;;3,75833;;
061016;0000;;3,33333;;
061017;0000;;4,8625;;
061018;0000;;3,74166;;
061019;0000;;7,80416;;
061020;0000;;4,59166;;
061021;0000;;4,88499;;
061022;0000;;3,83749;;
061023;0000;;4,27083;;
061024;0000;;2,99166;;
061025;0000;;5,78333;;
061026;0000;;6,38332;;
061027;0000;;2,46666;;
061028;0000;;3,72083;;
061029;0000;;3,175;;
061030;0000;;5,22499;;
061031;0000;;8,39473;;
061101;0000;;3,00417;;
061102;0000;;3,2125;;
061103;0000;;3,84583;;
061104;0000;;3;;
061105;0000;;1,56667;;
061106;0000;;3,53333;;
061107;0000;;2,85833;;
061108;0000;;2,77083;;
061109;0000;;2,25;;
061110;0000;;6,46666;;
061111;0000;;1,5875;;
061112;0000;;3,69166;;
061113;0000;;8,12915;;
061114;0000;;1,725;;
061115;0000;;2,4875;;
061116;0000;;5,95833;;
061117;0000;;3,48182;;
061118;0000;;4,55416;;
061119;0000;;3,2375;;
061120;0000;;3,85833;;
061121;0000;;5,74583;;
061122;0000;;4,16249;;
061123;0000;;4,38332;;
061124;0000;;4,5125;;
061125;0000;;4,36666;;
061126;0000;;3,24583;;
061127;0000;;4,09583;;
061128;0000;;3,85833;;
061129;0000;;3,63333;;
061130;0000;;3,75416;;
061201;0000;;1,85454;;
061202;0000;;4,075;;
061203;0000;;1,025;;
061204;0000;;1,175;;
061205;0000;;1,09167;;
061206;0000;;1,36666;;
061207;0000;;1,5625;;
061208;0000;;1,59167;;
061209;0000;;0,741666;;
061210;0000;;0,3125;;
061211;0000;;1,10833;;
061212;0000;;3,69583;;
061213;0000;;4,31666;;
061214;0000;;5,22173;;
061215;0000;;3,9875;;
061216;0000;;0,9;;
061217;0000;;2,575;;
061218;0000;;0,920833;;
061219;0000;;3,90833;;
061220;0000;;5,80416;;
061221;0000;;1,9625;;
061222;0000;;2,4;;
061223;0000;;1,80416;;
061224;0000;;1,57083;;
061225;0000;;2,68333;;
061226;0000;;1,52917;;
061227;0000;;3,69166;;
061228;0000;;4,37916;;
061229;0000;;5,52499;;
061230;0000;;1,86666;;
061231;0000;;1,35;;
070101;0000;;0,874999;;
070102;0000;;1,5375;;
070103;0000;;1,5619;;
